date,available_at,ticker,close
2024-01-02T09:00:00+09:00,2024-01-02T15:30:00+09:00,A000001,100
2024-01-02T09:00:00+09:00,2024-01-02T15:30:00+09:00,A000002,100
2024-01-03T09:00:00+09:00,2024-01-03T15:30:00+09:00,A000001,100
2024-01-03T09:00:00+09:00,2024-01-03T15:30:00+09:00,A000002,100
2024-01-04T09:00:00+09:00,2024-01-04T15:30:00+09:00,A000001,101
2024-01-04T09:00:00+09:00,2024-01-04T15:30:00+09:00,A000002,99
2024-01-05T09:00:00+09:00,2024-01-05T15:30:00+09:00,A000001,102
2024-01-05T09:00:00+09:00,2024-01-05T15:30:00+09:00,A000002,100
2024-01-08T09:00:00+09:00,2024-01-08T15:30:00+09:00,A000001,103
2024-01-08T09:00:00+09:00,2024-01-08T15:30:00+09:00,A000002,101
2024-01-09T09:00:00+09:00,2024-01-09T15:30:00+09:00,A000001,104
2024-01-09T09:00:00+09:00,2024-01-09T15:30:00+09:00,A000002,102
2024-01-10T09:00:00+09:00,2024-01-10T15:30:00+09:00,A000001,105
2024-01-10T09:00:00+09:00,2024-01-10T15:30:00+09:00,A000002,103
2024-01-11T09:00:00+09:00,2024-01-11T15:30:00+09:00,A000001,106
2024-01-11T09:00:00+09:00,2024-01-11T15:30:00+09:00,A000002,104
